SYMBOL,DATE,COMPANY,EXCHANGE,CLOSE
GCBC,2013-01-09,Greene County Bancorp Inc,NASDAQ,10.5
GCBC,2013-01-10,Greene County Bancorp Inc,NASDAQ,10.98
GCBC,2013-01-11,Greene County Bancorp Inc,NASDAQ,10.58
GCBC,2013-01-14,Greene County Bancorp Inc,NASDAQ,10.5
GCBC,2013-01-17,Greene County Bancorp Inc,NASDAQ,11.24
GCBC,2013-01-22,Greene County Bancorp Inc,NASDAQ,10.64
GCBC,2013-01-28,Greene County Bancorp Inc,NASDAQ,10.5
GCBC,2013-01-29,Greene County Bancorp Inc,NASDAQ,10.5
GCBC,2013-01-31,Greene County Bancorp Inc,NASDAQ,10.26
GCBC,2013-02-12,Greene County Bancorp Inc,NASDAQ,10.98
GCBC,2013-02-19,Greene County Bancorp Inc,NASDAQ,11
GCBC,2013-02-20,Greene County Bancorp Inc,NASDAQ,10.93
GCBC,2013-02-21,Greene County Bancorp Inc,NASDAQ,10.5
GCBC,2013-02-22,Greene County Bancorp Inc,NASDAQ,10.5
GCBC,2013-02-25,Greene County Bancorp Inc,NASDAQ,10.5
GCBC,2013-02-26,Greene County Bancorp Inc,NASDAQ,10.52
GCBC,2013-02-27,Greene County Bancorp Inc,NASDAQ,10.25
GCBC,2013-03-01,Greene County Bancorp Inc,NASDAQ,10.25
GCBC,2013-03-04,Greene County Bancorp Inc,NASDAQ,10.25
GCBC,2013-03-06,Greene County Bancorp Inc,NASDAQ,9.79
GCBC,2013-03-07,Greene County Bancorp Inc,NASDAQ,10.24
GCBC,2013-03-19,Greene County Bancorp Inc,NASDAQ,10.03
GCBC,2013-03-27,Greene County Bancorp Inc,NASDAQ,10.05
GCBC,2013-04-01,Greene County Bancorp Inc,NASDAQ,11.46
GCBC,2013-04-02,Greene County Bancorp Inc,NASDAQ,11.15
GCBC,2013-04-03,Greene County Bancorp Inc,NASDAQ,11.38
GCBC,2013-04-04,Greene County Bancorp Inc,NASDAQ,11.5
GCBC,2013-04-05,Greene County Bancorp Inc,NASDAQ,11.5
GCBC,2013-04-08,Greene County Bancorp Inc,NASDAQ,11.49
GCBC,2013-04-09,Greene County Bancorp Inc,NASDAQ,10.88
GCBC,2013-04-10,Greene County Bancorp Inc,NASDAQ,10.28
GCBC,2013-04-11,Greene County Bancorp Inc,NASDAQ,10.2
GCBC,2013-04-12,Greene County Bancorp Inc,NASDAQ,10.15
GCBC,2013-04-15,Greene County Bancorp Inc,NASDAQ,10.24
GCBC,2013-04-16,Greene County Bancorp Inc,NASDAQ,10.23
GCBC,2013-04-18,Greene County Bancorp Inc,NASDAQ,10
GCBC,2013-04-22,Greene County Bancorp Inc,NASDAQ,9.88
